symbol,file,candles
BTC/USDT:USDT,backtest_data/BTC_USDT_USDT.csv,1000
ETH/USDT:USDT,backtest_data/ETH_USDT_USDT.csv,1000
SOL/USDT:USDT,backtest_data/SOL_USDT_USDT.csv,1000
XRP/USDT:USDT,backtest_data/XRP_USDT_USDT.csv,1000
RIVER/USDT:USDT,backtest_data/RIVER_USDT_USDT.csv,1000
PIPPIN/USDT:USDT,backtest_data/PIPPIN_USDT_USDT.csv,1000
HYPE/USDT:USDT,backtest_data/HYPE_USDT_USDT.csv,1000
AXS/USDT:USDT,backtest_data/AXS_USDT_USDT.csv,1000
XAUT/USDT:USDT,backtest_data/XAUT_USDT_USDT.csv,1000
ZKP/USDT:USDT,backtest_data/ZKP_USDT_USDT.csv,1000
DOGE/USDT:USDT,backtest_data/DOGE_USDT_USDT.csv,1000
POWER/USDT:USDT,backtest_data/POWER_USDT_USDT.csv,1000
ZRO/USDT:USDT,backtest_data/ZRO_USDT_USDT.csv,1000
GPS/USDT:USDT,backtest_data/GPS_USDT_USDT.csv,1000
BERA/USDT:USDT,backtest_data/BERA_USDT_USDT.csv,1000
1000PEPE/USDT:USDT,backtest_data/1000PEPE_USDT_USDT.csv,1000
ASTER/USDT:USDT,backtest_data/ASTER_USDT_USDT.csv,1000
BNB/USDT:USDT,backtest_data/BNB_USDT_USDT.csv,1000
ADA/USDT:USDT,backtest_data/ADA_USDT_USDT.csv,1000
SUI/USDT:USDT,backtest_data/SUI_USDT_USDT.csv,1000
FARTCOIN/USDT:USDT,backtest_data/FARTCOIN_USDT_USDT.csv,1000
MOCA/USDT:USDT,backtest_data/MOCA_USDT_USDT.csv,1000
LINK/USDT:USDT,backtest_data/LINK_USDT_USDT.csv,1000
BCH/USDT:USDT,backtest_data/BCH_USDT_USDT.csv,1000
ZEC/USDT:USDT,backtest_data/ZEC_USDT_USDT.csv,1000
WHITEWHALE/USDT:USDT,backtest_data/WHITEWHALE_USDT_USDT.csv,1000
VANA/USDT:USDT,backtest_data/VANA_USDT_USDT.csv,1000
KAITO/USDT:USDT,backtest_data/KAITO_USDT_USDT.csv,1000
PAXG/USDT:USDT,backtest_data/PAXG_USDT_USDT.csv,1000
WLFI/USDT:USDT,backtest_data/WLFI_USDT_USDT.csv,1000
AVAX/USDT:USDT,backtest_data/AVAX_USDT_USDT.csv,1000
ALCH/USDT:USDT,backtest_data/ALCH_USDT_USDT.csv,1000
MON/USDT:USDT,backtest_data/MON_USDT_USDT.csv,1000
KITE/USDT:USDT,backtest_data/KITE_USDT_USDT.csv,1000
LTC/USDT:USDT,backtest_data/LTC_USDT_USDT.csv,1000
XMR/USDT:USDT,backtest_data/XMR_USDT_USDT.csv,1000
ENA/USDT:USDT,backtest_data/ENA_USDT_USDT.csv,1000
PUMPFUN/USDT:USDT,backtest_data/PUMPFUN_USDT_USDT.csv,1000
SENT/USDT:USDT,backtest_data/SENT_USDT_USDT.csv,1000
ARB/USDT:USDT,backtest_data/ARB_USDT_USDT.csv,1000
NEAR/USDT:USDT,backtest_data/NEAR_USDT_USDT.csv,1000
WIF/USDT:USDT,backtest_data/WIF_USDT_USDT.csv,1000
STABLE/USDT:USDT,backtest_data/STABLE_USDT_USDT.csv,1000
SONIC/USDT:USDT,backtest_data/SONIC_USDT_USDT.csv,1000
BIRB/USDT:USDT,backtest_data/BIRB_USDT_USDT.csv,1000
AAVE/USDT:USDT,backtest_data/AAVE_USDT_USDT.csv,1000
XPL/USDT:USDT,backtest_data/XPL_USDT_USDT.csv,1000
CRV/USDT:USDT,backtest_data/CRV_USDT_USDT.csv,1000
APT/USDT:USDT,backtest_data/APT_USDT_USDT.csv,1000
TAO/USDT:USDT,backtest_data/TAO_USDT_USDT.csv,1000
ARC/USDT:USDT,backtest_data/ARC_USDT_USDT.csv,1000
HBAR/USDT:USDT,backtest_data/HBAR_USDT_USDT.csv,1000
FHE/USDT:USDT,backtest_data/FHE_USDT_USDT.csv,1000
DOT/USDT:USDT,backtest_data/DOT_USDT_USDT.csv,1000
FIGHT/USDT:USDT,backtest_data/FIGHT_USDT_USDT.csv,1000
ZIL/USDT:USDT,backtest_data/ZIL_USDT_USDT.csv,1000
SIREN/USDT:USDT,backtest_data/SIREN_USDT_USDT.csv,1000
WLD/USDT:USDT,backtest_data/WLD_USDT_USDT.csv,1000
ELSA/USDT:USDT,backtest_data/ELSA_USDT_USDT.csv,1000
LA/USDT:USDT,backtest_data/LA_USDT_USDT.csv,1000
SKR/USDT:USDT,backtest_data/SKR_USDT_USDT.csv,1000
TON/USDT:USDT,backtest_data/TON_USDT_USDT.csv,1000
TRIA/USDT:USDT,backtest_data/TRIA_USDT_USDT.csv,513
OP/USDT:USDT,backtest_data/OP_USDT_USDT.csv,1000
VIRTUAL/USDT:USDT,backtest_data/VIRTUAL_USDT_USDT.csv,1000
DUSK/USDT:USDT,backtest_data/DUSK_USDT_USDT.csv,1000
IP/USDT:USDT,backtest_data/IP_USDT_USDT.csv,1000
ONDO/USDT:USDT,backtest_data/ONDO_USDT_USDT.csv,1000
ZK/USDT:USDT,backtest_data/ZK_USDT_USDT.csv,1000
PENGU/USDT:USDT,backtest_data/PENGU_USDT_USDT.csv,1000
MYX/USDT:USDT,backtest_data/MYX_USDT_USDT.csv,1000
GALA/USDT:USDT,backtest_data/GALA_USDT_USDT.csv,1000
FIL/USDT:USDT,backtest_data/FIL_USDT_USDT.csv,1000
SHIB1000/USDT:USDT,backtest_data/SHIB1000_USDT_USDT.csv,1000
STG/USDT:USDT,backtest_data/STG_USDT_USDT.csv,1000
1000BONK/USDT:USDT,backtest_data/1000BONK_USDT_USDT.csv,1000
TRUMP/USDT:USDT,backtest_data/TRUMP_USDT_USDT.csv,1000
TRX/USDT:USDT,backtest_data/TRX_USDT_USDT.csv,1000
XLM/USDT:USDT,backtest_data/XLM_USDT_USDT.csv,1000
BEAT/USDT:USDT,backtest_data/BEAT_USDT_USDT.csv,1000
RESOLV/USDT:USDT,backtest_data/RESOLV_USDT_USDT.csv,1000
POL/USDT:USDT,backtest_data/POL_USDT_USDT.csv,1000
ICP/USDT:USDT,backtest_data/ICP_USDT_USDT.csv,1000
UNI/USDT:USDT,backtest_data/UNI_USDT_USDT.csv,1000
H/USDT:USDT,backtest_data/H_USDT_USDT.csv,1000
SEI/USDT:USDT,backtest_data/SEI_USDT_USDT.csv,1000
STRK/USDT:USDT,backtest_data/STRK_USDT_USDT.csv,1000
ATOM/USDT:USDT,backtest_data/ATOM_USDT_USDT.csv,1000
AUCTION/USDT:USDT,backtest_data/AUCTION_USDT_USDT.csv,1000
MNT/USDT:USDT,backtest_data/MNT_USDT_USDT.csv,1000
LIT/USDT:USDT,backtest_data/LIT_USDT_USDT.csv,1000
IN/USDT:USDT,backtest_data/IN_USDT_USDT.csv,1000
ENSO/USDT:USDT,backtest_data/ENSO_USDT_USDT.csv,1000
ZAMA/USDT:USDT,backtest_data/ZAMA_USDT_USDT.csv,1000
AXL/USDT:USDT,backtest_data/AXL_USDT_USDT.csv,1000
JUP/USDT:USDT,backtest_data/JUP_USDT_USDT.csv,1000
ACU/USDT:USDT,backtest_data/ACU_USDT_USDT.csv,1000
HANA/USDT:USDT,backtest_data/HANA_USDT_USDT.csv,1000
DYDX/USDT:USDT,backtest_data/DYDX_USDT_USDT.csv,1000
MINA/USDT:USDT,backtest_data/MINA_USDT_USDT.csv,1000
